time_et,open,high,low,close,volume
2026-08-17 04:00:00,18.29,18.49,18.29,18.35,35790
2026-08-17 04:01:00,18.5,18.5,18.31,18.47,52106
2026-08-17 04:02:00,18.38,18.5,18.34,18.47,34727
2026-08-17 04:03:00,18.46,18.46,18.46,18.46,206
2026-08-17 04:04:00,18.46,18.46,18.46,18.46,0
2026-08-17 04:05:00,18.48,18.49,18.32,18.32,3821
2026-08-17 04:06:00,18.5,18.5,18.4,18.5,1870
2026-08-17 04:07:00,18.52,18.54,18.52,18.52,3637
2026-08-17 04:08:00,18.5,18.52,18.5,18.52,602
2026-08-17 04:09:00,18.51,18.51,18.51,18.51,1200
2026-08-17 04:10:00,18.51,18.54,18.51,18.54,15774
2026-08-17 04:11:00,18.53,18.58,18.53,18.58,5498
2026-08-17 04:12:00,18.58,18.63,18.58,18.63,19597
2026-08-17 04:13:00,18.63,18.65,18.62,18.65,8454
2026-08-17 04:14:00,18.65,18.66,18.64,18.65,19566
2026-08-17 04:15:00,18.66,18.71,18.66,18.68,19650
2026-08-17 04:16:00,18.67,18.69,18.67,18.68,14281
2026-08-17 04:17:00,18.68,18.68,18.68,18.68,500
2026-08-17 04:18:00,18.69,18.71,18.68,18.71,7655
2026-08-17 04:19:00,18.71,18.72,18.71,18.72,14568
2026-08-17 04:20:00,18.72,18.73,18.71,18.71,23075
2026-08-17 04:21:00,18.73,18.73,18.71,18.73,1000
2026-08-17 04:22:00,18.72,18.76,18.72,18.76,14024
2026-08-17 04:23:00,18.76,18.83,18.76,18.83,53417
2026-08-17 04:24:00,18.83,18.84,18.78,18.79,9335
2026-08-17 04:25:00,18.8,18.81,18.79,18.81,4879
2026-08-17 04:26:00,18.81,18.81,18.81,18.81,1000
2026-08-17 04:27:00,18.79,18.79,18.78,18.79,100
2026-08-17 04:28:00,18.75,18.75,18.75,18.75,800
2026-08-17 04:29:00,18.75,18.75,18.75,18.75,0
2026-08-17 04:30:00,18.75,18.75,18.75,18.75,0
2026-08-17 04:31:00,18.78,18.78,18.77,18.77,5072
2026-08-17 04:32:00,18.76,18.78,18.76,18.76,820
2026-08-17 04:33:00,18.78,18.78,18.78,18.78,350
2026-08-17 04:34:00,18.76,18.77,18.69,18.7,5181
2026-08-17 04:35:00,18.72,18.72,18.72,18.72,390
2026-08-17 04:36:00,18.71,18.72,18.71,18.72,1500
2026-08-17 04:37:00,18.72,18.72,18.72,18.72,0
2026-08-17 04:38:00,18.7,18.71,18.7,18.7,200
2026-08-17 04:39:00,18.74,18.74,18.73,18.74,2627
2026-08-17 04:40:00,18.7,18.7,18.7,18.7,450
2026-08-17 04:41:00,18.7,18.71,18.7,18.7,10200
2026-08-17 04:42:00,18.69,18.7,18.69,18.7,3097
2026-08-17 04:43:00,18.7,18.7,18.7,18.7,0
2026-08-17 04:44:00,18.7,18.7,18.7,18.7,0
2026-08-17 04:45:00,18.7,18.7,18.7,18.7,0
2026-08-17 04:46:00,18.7,18.7,18.7,18.7,0
2026-08-17 04:47:00,18.68,18.69,18.68,18.68,311
2026-08-17 04:48:00,18.67,18.67,18.67,18.67,1246
2026-08-17 04:49:00,18.67,18.67,18.67,18.67,0
2026-08-17 04:50:00,18.68,18.68,18.68,18.68,100
2026-08-17 04:51:00,18.68,18.69,18.68,18.68,100
2026-08-17 04:52:00,18.7,18.7,18.68,18.68,635
2026-08-17 04:53:00,18.69,18.7,18.68,18.68,10040
2026-08-17 04:54:00,18.67,18.67,18.66,18.66,11962
2026-08-17 04:55:00,18.67,18.67,18.66,18.67,1500
2026-08-17 04:56:00,18.66,18.66,18.66,18.66,1452
2026-08-17 04:57:00,18.66,18.66,18.66,18.66,0
2026-08-17 04:58:00,18.67,18.67,18.66,18.67,158
2026-08-17 04:59:00,18.67,18.67,18.67,18.67,0
2026-08-17 05:00:00,18.66,18.66,18.66,18.66,240
2026-08-17 05:01:00,18.66,18.66,18.66,18.66,0
2026-08-17 05:02:00,18.66,18.66,18.66,18.66,2369
2026-08-17 05:03:00,18.66,18.66,18.66,18.66,250
2026-08-17 05:04:00,18.65,18.67,18.65,18.67,500
2026-08-17 05:05:00,18.65,18.65,18.65,18.65,350
2026-08-17 05:06:00,18.65,18.65,18.65,18.65,0
2026-08-17 05:07:00,18.65,18.65,18.65,18.65,0
2026-08-17 05:08:00,18.65,18.65,18.65,18.65,0
2026-08-17 05:09:00,18.65,18.65,18.65,18.65,0
2026-08-17 05:10:00,18.65,18.65,18.64,18.65,858
2026-08-17 05:11:00,18.64,18.64,18.64,18.64,100
2026-08-17 05:12:00,18.65,18.65,18.65,18.65,900
2026-08-17 05:13:00,18.66,18.66,18.65,18.65,5260
2026-08-17 05:14:00,18.65,18.65,18.65,18.65,200
2026-08-17 05:15:00,18.66,18.66,18.66,18.66,100
2026-08-17 05:16:00,18.65,18.65,18.65,18.65,500
2026-08-17 05:17:00,18.65,18.66,18.65,18.66,5000
2026-08-17 05:18:00,18.66,18.66,18.66,18.66,0
2026-08-17 05:19:00,18.66,18.66,18.66,18.66,400
2026-08-17 05:20:00,18.64,18.65,18.62,18.65,2158
2026-08-17 05:21:00,18.65,18.66,18.64,18.66,6087
2026-08-17 05:22:00,18.62,18.65,18.62,18.65,500
2026-08-17 05:23:00,18.65,18.65,18.65,18.65,0
2026-08-17 05:24:00,18.64,18.64,18.64,18.64,100
2026-08-17 05:25:00,18.64,18.64,18.64,18.64,0
2026-08-17 05:26:00,18.64,18.64,18.64,18.64,0
2026-08-17 05:27:00,18.64,18.64,18.64,18.64,0
2026-08-17 05:28:00,18.67,18.68,18.67,18.67,2068
2026-08-17 05:29:00,18.67,18.67,18.67,18.67,1000
2026-08-17 05:30:00,18.66,18.66,18.65,18.66,1000
2026-08-17 05:31:00,18.66,18.66,18.66,18.66,0
2026-08-17 05:32:00,18.66,18.66,18.66,18.66,787
2026-08-17 05:33:00,18.66,18.66,18.66,18.66,0
2026-08-17 05:34:00,18.66,18.66,18.66,18.66,0
2026-08-17 05:35:00,18.66,18.66,18.66,18.66,1040
2026-08-17 05:36:00,18.66,18.66,18.65,18.66,217
2026-08-17 05:37:00,18.65,18.65,18.65,18.65,5230
2026-08-17 05:38:00,18.65,18.65,18.65,18.65,0
2026-08-17 05:39:00,18.65,18.65,18.64,18.64,1122
2026-08-17 05:40:00,18.65,18.65,18.63,18.63,1256
2026-08-17 05:41:00,18.62,18.62,18.62,18.62,2000
2026-08-17 05:42:00,18.62,18.62,18.62,18.62,0
2026-08-17 05:43:00,18.62,18.62,18.62,18.62,0
2026-08-17 05:44:00,18.62,18.62,18.62,18.62,0
2026-08-17 05:45:00,18.64,18.64,18.64,18.64,651
2026-08-17 05:46:00,18.62,18.63,18.62,18.62,1300
2026-08-17 05:47:00,18.63,18.63,18.63,18.63,360
2026-08-17 05:48:00,18.64,18.64,18.64,18.64,224
2026-08-17 05:49:00,18.64,18.64,18.64,18.64,0
2026-08-17 05:50:00,18.65,18.65,18.62,18.62,4497
2026-08-17 05:51:00,18.62,18.63,18.62,18.62,4210
2026-08-17 05:52:00,18.63,18.63,18.63,18.63,2500
2026-08-17 05:53:00,18.63,18.63,18.63,18.63,0
2026-08-17 05:54:00,18.62,18.62,18.62,18.62,407
2026-08-17 05:55:00,18.63,18.63,18.62,18.62,4120
2026-08-17 05:56:00,18.63,18.64,18.63,18.64,917
2026-08-17 05:57:00,18.64,18.64,18.64,18.64,0
2026-08-17 05:58:00,18.62,18.63,18.62,18.62,292
2026-08-17 05:59:00,18.62,18.62,18.62,18.62,180
2026-08-17 06:00:00,18.62,18.62,18.62,18.62,0
2026-08-17 06:01:00,18.62,18.62,18.62,18.62,200
2026-08-17 06:02:00,18.62,18.62,18.62,18.62,0
2026-08-17 06:03:00,18.62,18.62,18.62,18.62,0
2026-08-17 06:04:00,18.62,18.62,18.62,18.62,0
2026-08-17 06:05:00,18.64,18.64,18.64,18.64,611
2026-08-17 06:06:00,18.64,18.64,18.64,18.64,400
2026-08-17 06:07:00,18.64,18.64,18.64,18.64,130
2026-08-17 06:08:00,18.64,18.64,18.64,18.64,872
2026-08-17 06:09:00,18.64,18.64,18.64,18.64,0
2026-08-17 06:10:00,18.64,18.64,18.63,18.63,2973
2026-08-17 06:11:00,18.63,18.63,18.63,18.63,0
2026-08-17 06:12:00,18.64,18.65,18.64,18.64,9180
2026-08-17 06:13:00,18.63,18.63,18.62,18.63,311
2026-08-17 06:14:00,18.62,18.62,18.62,18.62,2619
2026-08-17 06:15:00,18.62,18.62,18.62,18.62,721
2026-08-17 06:16:00,18.62,18.66,18.62,18.65,6381
2026-08-17 06:17:00,18.65,18.66,18.65,18.66,4960
2026-08-17 06:18:00,18.66,18.66,18.66,18.66,0
2026-08-17 06:19:00,18.66,18.66,18.66,18.66,0
2026-08-17 06:20:00,18.66,18.66,18.66,18.66,0
2026-08-17 06:21:00,18.65,18.65,18.63,18.63,309
2026-08-17 06:22:00,18.63,18.63,18.63,18.63,520
2026-08-17 06:23:00,18.63,18.63,18.63,18.63,0
2026-08-17 06:24:00,18.62,18.62,18.62,18.62,500
2026-08-17 06:25:00,18.62,18.63,18.62,18.63,1300
2026-08-17 06:26:00,18.63,18.63,18.63,18.63,0
2026-08-17 06:27:00,18.61,18.62,18.61,18.61,850
2026-08-17 06:28:00,18.61,18.61,18.61,18.61,0
2026-08-17 06:29:00,18.61,18.68,18.61,18.67,9322
2026-08-17 06:30:00,18.68,18.68,18.67,18.68,4241
2026-08-17 06:31:00,18.68,18.68,18.68,18.68,0
2026-08-17 06:32:00,18.68,18.68,18.68,18.68,0
2026-08-17 06:33:00,18.67,18.67,18.67,18.67,185
2026-08-17 06:34:00,18.66,18.66,18.66,18.66,200
2026-08-17 06:35:00,18.65,18.65,18.65,18.65,390
2026-08-17 06:36:00,18.64,18.64,18.64,18.64,100
2026-08-17 06:37:00,18.64,18.64,18.64,18.64,260
2026-08-17 06:38:00,18.64,18.64,18.64,18.64,270
2026-08-17 06:39:00,18.65,18.65,18.64,18.64,230
2026-08-17 06:40:00,18.66,18.66,18.65,18.66,1265
2026-08-17 06:41:00,18.65,18.65,18.65,18.65,1000
2026-08-17 06:42:00,18.65,18.65,18.65,18.65,100
2026-08-17 06:43:00,18.64,18.65,18.64,18.65,4311
2026-08-17 06:44:00,18.65,18.65,18.65,18.65,0
2026-08-17 06:45:00,18.64,18.65,18.64,18.65,4796
2026-08-17 06:46:00,18.62,18.62,18.61,18.62,800
2026-08-17 06:47:00,18.62,18.62,18.62,18.62,0
2026-08-17 06:48:00,18.62,18.62,18.62,18.62,0
2026-08-17 06:49:00,18.62,18.62,18.62,18.62,0
2026-08-17 06:50:00,18.64,18.64,18.62,18.62,1017
2026-08-17 06:51:00,18.62,18.62,18.62,18.62,0
2026-08-17 06:52:00,18.62,18.62,18.62,18.62,0
2026-08-17 06:53:00,18.65,18.65,18.64,18.64,294
2026-08-17 06:54:00,18.64,18.64,18.64,18.64,0
2026-08-17 06:55:00,18.64,18.64,18.64,18.64,3577
2026-08-17 06:56:00,18.64,18.64,18.62,18.64,9523
2026-08-17 06:57:00,18.65,18.65,18.65,18.65,460
2026-08-17 06:58:00,18.64,18.65,18.64,18.65,600
2026-08-17 06:59:00,18.65,18.65,18.64,18.65,1028
2026-08-17 07:00:00,18.64,18.66,18.62,18.63,39146
2026-08-17 07:01:00,18.63,18.65,18.63,18.64,2821
2026-08-17 07:02:00,18.66,18.66,18.65,18.65,1933
2026-08-17 07:03:00,18.65,18.65,18.64,18.65,650
2026-08-17 07:04:00,18.65,18.65,18.65,18.65,0
2026-08-17 07:05:00,18.66,18.66,18.65,18.65,13751
2026-08-17 07:06:00,18.65,18.7,18.65,18.69,13842
2026-08-17 07:07:00,18.69,18.7,18.68,18.69,2235
2026-08-17 07:08:00,18.69,18.69,18.69,18.69,419
2026-08-17 07:09:00,18.69,18.7,18.68,18.69,12058
2026-08-17 07:10:00,18.68,18.69,18.67,18.69,7450
2026-08-17 07:11:00,18.68,18.69,18.68,18.68,120
2026-08-17 07:12:00,18.67,18.68,18.66,18.66,3260
2026-08-17 07:13:00,18.66,18.66,18.65,18.65,4796
2026-08-17 07:14:00,18.65,18.65,18.64,18.64,1510
2026-08-17 07:15:00,18.67,18.67,18.66,18.66,388
