timestamp,tipo,entry,uscita,esito,pnl
2026-04-27 13:25:00-04:00,LONG,714.6,713.6,STOP,-1.0
2026-04-28 09:45:00-04:00,SHORT,712.24,710.24,TARGET,2.0
2026-04-29 14:05:00-04:00,SHORT,708.84,709.84,STOP,-1.0
2026-04-29 14:30:00-04:00,SHORT,709.02,710.02,STOP,-1.0
2026-04-30 09:40:00-04:00,LONG,712.85,711.85,STOP,-1.0
2026-04-30 10:40:00-04:00,LONG,712.24,714.24,TARGET,2.0
2026-05-04 09:45:00-04:00,SHORT,720.41,721.41,STOP,-1.0
2026-05-04 10:05:00-04:00,SHORT,720.06,721.06,STOP,-1.0
2026-05-04 11:10:00-04:00,SHORT,720.25,718.25,TARGET,2.0
2026-05-05 09:30:00-04:00,LONG,722.29,724.29,TARGET,2.0
2026-05-05 09:40:00-04:00,LONG,722.23,724.23,TARGET,2.0
2026-05-07 10:05:00-04:00,LONG,734.69,733.69,STOP,-1.0
2026-05-07 10:30:00-04:00,LONG,734.77,733.77,STOP,-1.0
2026-05-08 10:35:00-04:00,LONG,736.95,738.95,TARGET,2.0
2026-05-12 09:30:00-04:00,SHORT,736.35,734.35,TARGET,2.0
2026-05-12 14:25:00-04:00,SHORT,736.18,737.18,STOP,-1.0
2026-05-13 10:50:00-04:00,LONG,738.89,740.89,TARGET,2.0
2026-05-13 11:05:00-04:00,LONG,739.11,741.11,TARGET,2.0
2026-05-18 10:35:00-04:00,SHORT,737.93,738.93,STOP,-1.0
2026-05-18 10:45:00-04:00,SHORT,737.52,738.52,STOP,-1.0
2026-05-18 11:00:00-04:00,SHORT,737.28,735.28,TARGET,2.0
2026-05-19 10:10:00-04:00,SHORT,732.92,733.92,STOP,-1.0
2026-05-19 11:15:00-04:00,SHORT,733.01,734.01,STOP,-1.0
2026-05-19 11:50:00-04:00,SHORT,733.38,734.38,STOP,-1.0
2026-05-20 10:35:00-04:00,LONG,737.94,739.94,TARGET,2.0
2026-05-21 13:25:00-04:00,LONG,742.15,744.15,TARGET,2.0
2026-05-21 15:05:00-04:00,LONG,742.41,744.41,TARGET,2.0
2026-05-22 10:20:00-04:00,LONG,744.98,746.98,TARGET,2.0
2026-05-26 12:00:00-04:00,LONG,749.24,751.24,TARGET,2.0
2026-05-26 14:00:00-04:00,LONG,749.18,751.18,TARGET,2.0
